Higher Taxon,December 2012,Family,Subfamily
Sauria,Acanthocercus atricollis,Agamidae,Agaminae
Sauria,Acanthocercus branchi,Agamidae,Agaminae
Sauria,Acanthocercus cyanogaster,Agamidae,Agaminae
Sauria,Acanthocercus guentherpetersi,Agamidae,Agaminae
Sauria,Acanthocercus phillipsii,Agamidae,Agaminae
Sauria,Acanthocercus yemensis,Agamidae,Agaminae
Sauria,Acanthocercus zonurus,Agamidae,Agaminae
Sauria,Agama aculeata,Agamidae,Agaminae
Sauria,Agama africana,Agamidae,Agaminae
Sauria,Agama agama,Agamidae,Agaminae
Sauria,Agama anchietae,Agamidae,Agaminae
Sauria,Agama armata,Agamidae,Agaminae
Sauria,Agama atra,Agamidae,Agaminae
Sauria,Agama bocourti,Agamidae,Agaminae
Sauria,Agama boensis,Agamidae,Agaminae
Sauria,Agama bottegi,Agamidae,Agaminae
Sauria,Agama boueti,Agamidae,Agaminae
Sauria,Agama boulengeri,Agamidae,Agaminae
Sauria,Agama castroviejoi,Agamidae,Agaminae
Sauria,Agama caudospinosa,Agamidae,Agaminae
Sauria,Agama cristata,Agamidae,Agaminae
Sauria,Agama doriae,Agamidae,Agaminae
Sauria,Agama etoshae,Agamidae,Agaminae
Sauria,Agama finchi,Agamidae,Agaminae
Sauria,Agama gracilimembris,Agamidae,Agaminae
Sauria,Agama hartmanni,Agamidae,Agaminae
Sauria,Agama hispida,Agamidae,Agaminae
Sauria,Agama impalearis,Agamidae,Agaminae
Sauria,Agama insularis,Agamidae,Agaminae
Sauria,Agama kaimosae,Agamidae,Agaminae
Sauria,Agama kirkii,Agamidae,Agaminae
Sauria,Agama lebretoni,Agamidae,Agaminae
Sauria,Agama lionotus,Agamidae,Agaminae
Sauria,Agama lucyae,Agamidae,Agaminae
Sauria,Agama montana,Agamidae,Agaminae
Sauria,Agama mossambica,Agamidae,Agaminae
Sauria,Agama mucosoensis,Agamidae,Agaminae
Sauria,Agama mwanzae,Agamidae,Agaminae
Sauria,Agama parafricana,Agamidae,Agaminae
Sauria,Agama paragama,Agamidae,Agaminae
Sauria,Agama persimilis,Agamidae,Agaminae
Sauria,Agama planiceps,Agamidae,Agaminae
Sauria,Agama robecchii,Agamidae,Agaminae
Sauria,Agama rueppelli,Agamidae,Agaminae
Sauria,Agama sankaranica,Agamidae,Agaminae
Sauria,Agama spinosa,Agamidae,Agaminae
Sauria,Agama sylvana,Agamidae,Agaminae
Sauria,Agama tassiliensis,Agamidae,Agaminae
Sauria,Agama turuensis,Agamidae,Agaminae
Sauria,Agama wagneri,Agamidae,Agaminae
Sauria,Agama weidholzi,Agamidae,Agaminae
Sauria,Brachysaura minor,Agamidae,Agaminae
Sauria,Bufoniceps laungwalaensis,Agamidae,Agaminae
Sauria,Laudakia agrorensis,Agamidae,Agaminae
Sauria,Laudakia badakhshana,Agamidae,Agaminae
Sauria,Laudakia bochariensis,Agamidae,Agaminae
Sauria,Laudakia caucasia,Agamidae,Agaminae
Sauria,Laudakia dayana,Agamidae,Agaminae
Sauria,Laudakia erythrogaster,Agamidae,Agaminae
Sauria,Laudakia himalayana,Agamidae,Agaminae
Sauria,Laudakia lehmanni,Agamidae,Agaminae
